param;filter;value2;value3
Дегунино Западное;rayon;Дегунино Западное;
Десеновское;rayon;Десеновском;
Донской;rayon;Донском;
Дорогомилово;rayon;Дорогомилово;
Замоскворечье;rayon;Замоскворечье;
Зюзино;rayon;Зюзино;
Зябликово;rayon;Зябликово;
Ивановское;rayon;Ивановском;
Измайлово;rayon;Измайлово;
Измайлово Северное;rayon;Измайлово Северное;
Капотня;rayon;Капотни;
Кокошкино;rayon;Кокошкино;
Коньково;rayon;Коньково;
Коптево;rayon;Коптево;
Косино-Ухтомский;rayon;Косино-Ухтомском;
Котловка;rayon;Котловки;
Красногорск;rayon;Красногорском;
Красносельский;rayon;Красносельском;
Крылатское;rayon;Крылатском;
Крюково;rayon;Крюково;
Кузьминки;rayon;Кузьминок;
Кунцево;rayon;Кунцево;
Куркино;rayon;Куркино;
Левобережный;rayon;Левобережном;
Лефортово;rayon;Лефортово;
Лианозово;rayon;Лианозово;
Лосиноостровский;rayon;Лосиноостровском;
Люблино;rayon;Люблино;
Марфино;rayon;Марфино;
Марьина Роща;rayon;Марьиной Рощи;
Марьино;rayon;Марьино;
Матушкино;rayon;Матушкино;
Медведково Северное;rayon;Медведково Северное;
Медведково Южное;rayon;Медведково Южное;
Метрогородок;rayon;Метрогородка;
Мещанский;rayon;Мещанском;
Митино;rayon;Митино;
Михайлово-Ярцевское;rayon;Михайлово-Ярцевское;
Можайский;rayon;Можайском;
Молжаниновский;rayon;Молжаниновском;
Москворечье-Сабурово;rayon;Москворечье-Сабурово;
Московский;rayon;Московском;
Мосрентген;rayon;Мосрентгена;
Нагатино-Садовники;rayon;Нагатино-Садовники;
Нагатинский Затон;rayon;Нагатинском Затоне;
Нагорный;rayon;Нагорном;
Некрасовка;rayon;Некрасовке;
Нижегородский;rayon;Нижегородском;
Новогиреево;rayon;Новогиреево;
Новокосино;rayon;Новокосино;
Ново-Переделкино;rayon;Ново-Переделкино;
Новофедоровское;rayon;Новофедоровское;
Обручевский;rayon;Обручевском;
Орехово-Борисово Северное;rayon;Орехово-Борисово Северное;
Орехово-Борисово Южное;rayon;Орехово-Борисово Южное;
Останкинский;rayon;Останкинском;
Отрадное;rayon;Отрадном;
Очаково-Матвеевское;rayon;Очаково-Матвеевском;
Первомайское;rayon;Первомайском;
Перово;rayon;Перово;
Печатники;rayon;Печатниках;
Покровское-Стрешнево;rayon;Покровское-Стрешнево;
Преображенское;rayon;Преображенском;
Пресненский;rayon;Пресненском;
Проспект Вернадского;rayon;Проспект Вернадского;
Раменки;rayon;Раменках;
Роговское;rayon;Роговском;
Ростокино;rayon;Ростокино;
Рязановское;rayon;Рязановском;
Рязанский;rayon;Рязанском;
Савелки;rayon;Савелках;
Савеловский;rayon;Савеловском;
Свиблово;rayon;Свиблово;
Северное Тушино;rayon;Северном Тушино;
Силино;rayon;Силино;
Сокол;rayon;Сокол;
Соколиная Гора;rayon;Соколиная Гора;
Сокольники;rayon;Сокольниках;
Солнцево;rayon;Солнцево;
Сосенское;rayon;Сосенском;
Старое Крюково;rayon;Старом Крюково;
Строгино;rayon;Строгино;
Таганский;rayon;Таганском;
Тверской;rayon;Тверском;
Текстильщики;rayon;Текстильщиках;
Тимирязевский;rayon;Тимирязевском;
Троицк;rayon;Троицком;
Тропарево-Никулино;rayon;Тропарево-Никулино;
Тушино Северное;rayon;Тушино Северное;
Тушино Южное;rayon;Тушино Южное;
Филевский Парк;rayon;Филевском Парке;
Фили-Давыдково;rayon;Фили-Давыдково;
Филимонковское;rayon;Филимонковском;
Хамовники;rayon;Хамовниках;
Ховрино;rayon;Ховрино;
Хорошево-Мневники;rayon;Хорошево-Мневники;
Хорошевский;rayon;Хорошевском;
Царицыно;rayon;Царицыно;
Черемушки;rayon;Черемушках;
Чертаново Северное;rayon;Чертаново Северное;
Чертаново Центральное;rayon;Чертаново Центральное;
Чертаново Южное;rayon;Чертаново Южное;
Щаповское;rayon;Щаповскоом;
Щербинка;rayon;Щербинке;
Щукино;rayon;Щукино;
Южное Тушино;rayon;Южное Тушино;
Южнопортовый;rayon;Южнопортовый;
Якиманка;rayon;Якиманки;
Ярославский;rayon;Ярославском;
Ясенево;rayon;Ясенево;
благоустройство;sfera-deyatelnosti;благоустройством;
вооруженные силы;sfera-deyatelnosti;вооруженными силсилами;
госуправление;sfera-deyatelnosti;госуправлением;
журналистика;sfera-deyatelnosti;журналистикой ;
закон и правопорядок;sfera-deyatelnosti;законом и правопорядком;
здравоохранение;sfera-deyatelnosti;здравоохранением;
издательство;sfera-deyatelnosti;издательством;
информатика;sfera-deyatelnosti;информатикой;
лесное хозяйство;sfera-deyatelnosti;лесным хозяйством;
наука;sfera-deyatelnosti;наукой;
образование и культура;sfera-deyatelnosti;образованием и культурой;
общественное питание;sfera-deyatelnosti;общественным питанием;
предпринимательство;sfera-deyatelnosti;предпринимательством;
промышленность;sfera-deyatelnosti;промышленностью;
связь;sfera-deyatelnosti;связью;
сельское хозяйство;sfera-deyatelnosti;сельским хозяйством;
социальная;sfera-deyatelnosti;социальным;
спорт и туризм;sfera-deyatelnosti;спортом и туризмом;
строительство;sfera-deyatelnosti;строительством;
творчество;sfera-deyatelnosti;творчеством;
торговля;sfera-deyatelnosti;торговлей ;
транспорт;sfera-deyatelnosti;транспортом;
услуги населению;sfera-deyatelnosti;услугами населению;
финансы;sfera-deyatelnosti;финансами;
экономика;sfera-deyatelnosti;экономикой;
юриспруденция;sfera-deyatelnosti;юриспруденцией;
Высокие;teloslozhenie;Высокие;высокого
Низкие;teloslozhenie;Низкие;низкого
Пышная;teloslozhenie;Пышные;пышного
Толстая;teloslozhenie;Толстые;толстого
Фигуристая;teloslozhenie;Фигуристые;фигуристого
Худая;teloslozhenie;Худые;худого
есть автомобиль;transport;с автомобилем;
есть мотоцикл;transport;с мотоциклом;
нет транспорта;transport;без транспорта;
Анальный секс;usluga;Анального секса;
Анилингус;usluga;Анилингуса;
Бандаж;usluga;Бандажа;
БДСМ;usluga;БДСМа;
Боди массаж;usluga;Боди массажа;
Ветка сакуры;usluga;Ветки сакуры;
Господин;usluga;Господина;
Госпожа;usluga;Госпожи;
Золотой дождь;usluga;Золотого дождя;
Копро;usluga;Копро;
Кунилингус;usluga;Кунилингуса;
Легкая доминация;usluga;Легкой доминации;
Лесби-шоу;usluga;Лесби-шоу;
Массаж простаты;usluga;Массажа простаты;
Минет без резинки;usluga;Минета без резинки;
Минет в машине;usluga;Минета в машине;
Минет в презервативе;usluga;Минета в презервативе;
Минет глубокий;usluga;глубокого минета;
Окончание в рот;usluga;Окончания в рот;
Окончание на грудь;usluga;Окончания на грудь;
Окончание на лицо;usluga;Окончания на лицо;
Раб;usluga;Раба;
Рабыня;usluga;Рабыни;
Ролевые игры;usluga;Ролевых игр;
Секс классический;usluga;классического секса;
Страпон;usluga;Страпона;
Стриптиз;usluga;Стриптиза;
Урологический массаж;usluga;Урологического массажа;
Фистинг анальный;usluga;анального фистинга;
Фистинг классический;usluga;классического фистинга;
Эротический массаж;usluga;Эротического массажа;
Эскорт;usluga;Эскорта;
живу в общежитии;zhile;живущие в общежитии;
живу с приятелем/подругой;zhile;живущие с приятелем/подругой;
живу с родителями;zhile;живужие с родителями;
нет постоянного жилья;zhile;в поиске жилья ;
свой дом;zhile;живущие в  доме;
своя квартира;zhile;живущие в квартире;
снимаю квартиру;zhile;снимающие квартиру;
